event_id,request_id,iteration,src_task,dst_task,payload_bytes,L_context,k_accepted,cum_output_tokens,src_task_compute_flops,note
0,0,0,EXT,PREFILL,32768,8192,,0,0,external arrival: prompt token IDs
1,0,0,PREFILL,COMMIT,25427968,8192,,0,2.60379e+14,"one-time prefill KV publish (compressed CSA/HCA, grows linearly with L)"
2,0,0,PREFILL,MTP_DRAFT,8192,8192,,0,2.60379e+14,prefill->draft handoff: last-token hidden state
3,0,1,MTP_DRAFT,VERIFY,64,8192,,0,5.17423e+09,proposed 7-token block via MTP head
4,0,1,VERIFY,COMMIT,29920,8192,7,0,2.22491e+11,verify result: accepted-token KV + context carry
5,0,1,COMMIT,MTP_DRAFT,64,8199,7,7,0,loop continue
6,0,2,MTP_DRAFT,VERIFY,64,8199,,7,5.17435e+09,proposed 7-token block via MTP head
7,0,2,VERIFY,COMMIT,29920,8199,7,7,2.22497e+11,verify result: accepted-token KV + context carry
8,0,2,COMMIT,MTP_DRAFT,64,8206,7,14,0,loop continue
9,0,3,MTP_DRAFT,VERIFY,64,8206,,14,5.17447e+09,proposed 7-token block via MTP head
10,0,3,VERIFY,COMMIT,17504,8206,3,14,2.22502e+11,verify result: accepted-token KV + context carry
11,0,3,COMMIT,MTP_DRAFT,64,8209,3,17,0,loop continue
12,0,4,MTP_DRAFT,VERIFY,64,8209,,17,5.17452e+09,proposed 7-token block via MTP head
13,0,4,VERIFY,COMMIT,14400,8209,2,17,2.22504e+11,verify result: accepted-token KV + context carry
14,0,4,COMMIT,MTP_DRAFT,64,8211,2,19,0,loop continue
15,0,5,MTP_DRAFT,VERIFY,64,8211,,19,5.17456e+09,proposed 7-token block via MTP head
16,0,5,VERIFY,COMMIT,11296,8211,1,19,2.22506e+11,verify result: accepted-token KV + context carry
17,0,5,COMMIT,MTP_DRAFT,64,8212,1,20,0,loop continue
18,0,6,MTP_DRAFT,VERIFY,64,8212,,20,5.17457e+09,proposed 7-token block via MTP head
19,0,6,VERIFY,COMMIT,29920,8212,7,20,2.22506e+11,verify result: accepted-token KV + context carry
20,0,6,COMMIT,MTP_DRAFT,64,8219,7,27,0,loop continue
21,0,7,MTP_DRAFT,VERIFY,64,8219,,27,5.1747e+09,proposed 7-token block via MTP head
22,0,7,VERIFY,COMMIT,29920,8219,7,27,2.22512e+11,verify result: accepted-token KV + context carry
23,0,7,COMMIT,MTP_DRAFT,64,8226,7,34,0,loop continue
24,0,8,MTP_DRAFT,VERIFY,64,8226,,34,5.17482e+09,proposed 7-token block via MTP head
25,0,8,VERIFY,COMMIT,29920,8226,7,34,2.22517e+11,verify result: accepted-token KV + context carry
26,0,8,COMMIT,MTP_DRAFT,64,8233,7,41,0,loop continue
27,0,9,MTP_DRAFT,VERIFY,64,8233,,41,5.17494e+09,proposed 7-token block via MTP head
28,0,9,VERIFY,COMMIT,17504,8233,3,41,2.22522e+11,verify result: accepted-token KV + context carry
29,0,9,COMMIT,MTP_DRAFT,64,8236,3,44,0,loop continue
30,0,10,MTP_DRAFT,VERIFY,64,8236,,44,5.17499e+09,proposed 7-token block via MTP head
31,0,10,VERIFY,COMMIT,14400,8236,2,44,2.22524e+11,verify result: accepted-token KV + context carry
32,0,10,COMMIT,MTP_DRAFT,64,8238,2,46,0,loop continue
33,0,11,MTP_DRAFT,VERIFY,64,8238,,46,5.17503e+09,proposed 7-token block via MTP head
34,0,11,VERIFY,COMMIT,29920,8238,7,46,2.22526e+11,verify result: accepted-token KV + context carry
35,0,11,COMMIT,MTP_DRAFT,64,8245,7,53,0,loop continue
36,0,12,MTP_DRAFT,VERIFY,64,8245,,53,5.17515e+09,proposed 7-token block via MTP head
37,0,12,VERIFY,COMMIT,14400,8245,2,53,2.22531e+11,verify result: accepted-token KV + context carry
38,0,12,COMMIT,MTP_DRAFT,64,8247,2,55,0,loop continue
39,0,13,MTP_DRAFT,VERIFY,64,8247,,55,5.17518e+09,proposed 7-token block via MTP head
40,0,13,VERIFY,COMMIT,26816,8247,6,55,2.22532e+11,verify result: accepted-token KV + context carry
41,0,13,COMMIT,MTP_DRAFT,64,8253,6,61,0,loop continue
42,0,14,MTP_DRAFT,VERIFY,64,8253,,61,5.17529e+09,proposed 7-token block via MTP head
43,0,14,VERIFY,COMMIT,23712,8253,5,61,2.22537e+11,verify result: accepted-token KV + context carry
44,0,14,COMMIT,MTP_DRAFT,64,8258,5,66,0,loop continue
45,0,15,MTP_DRAFT,VERIFY,64,8258,,66,5.17537e+09,proposed 7-token block via MTP head
46,0,15,VERIFY,COMMIT,29920,8258,7,66,2.22541e+11,verify result: accepted-token KV + context carry
47,0,15,COMMIT,MTP_DRAFT,64,8265,7,73,0,loop continue
48,0,16,MTP_DRAFT,VERIFY,64,8265,,73,5.17549e+09,proposed 7-token block via MTP head
49,0,16,VERIFY,COMMIT,26816,8265,6,73,2.22546e+11,verify result: accepted-token KV + context carry
50,0,16,COMMIT,MTP_DRAFT,64,8271,6,79,0,loop continue
51,0,17,MTP_DRAFT,VERIFY,64,8271,,79,5.1756e+09,proposed 7-token block via MTP head
