event_id,request_id,iteration,src_task,dst_task,payload_bytes,L_context,k_accepted,cum_output_tokens,src_task_compute_flops,note
0,0,0,EXT,PREFILL,262144,65536,,0,0,external arrival: prompt token IDs
1,0,0,PREFILL,COMMIT,203423744,65536,,0,2.48327e+15,"one-time prefill KV publish (compressed CSA/HCA, grows linearly with L)"
2,0,0,PREFILL,MTP_DRAFT,8192,65536,,0,2.48327e+15,prefill->draft handoff: last-token hidden state
3,0,1,MTP_DRAFT,VERIFY,64,65536,,0,6.16842e+09,proposed 7-token block via MTP head
4,0,1,VERIFY,COMMIT,29920,65536,7,0,2.65242e+11,verify result: accepted-token KV + context carry
5,0,1,COMMIT,MTP_DRAFT,64,65543,7,7,0,loop continue
6,0,2,MTP_DRAFT,VERIFY,64,65543,,7,6.16855e+09,proposed 7-token block via MTP head
7,0,2,VERIFY,COMMIT,26816,65543,6,7,2.65247e+11,verify result: accepted-token KV + context carry
8,0,2,COMMIT,MTP_DRAFT,64,65549,6,13,0,loop continue
9,0,3,MTP_DRAFT,VERIFY,64,65549,,13,6.16865e+09,proposed 7-token block via MTP head
10,0,3,VERIFY,COMMIT,17504,65549,3,13,2.65252e+11,verify result: accepted-token KV + context carry
11,0,3,COMMIT,MTP_DRAFT,64,65552,3,16,0,loop continue
12,0,4,MTP_DRAFT,VERIFY,64,65552,,16,6.1687e+09,proposed 7-token block via MTP head
13,0,4,VERIFY,COMMIT,14400,65552,2,16,2.65254e+11,verify result: accepted-token KV + context carry
14,0,4,COMMIT,MTP_DRAFT,64,65554,2,18,0,loop continue
15,0,5,MTP_DRAFT,VERIFY,64,65554,,18,6.16874e+09,proposed 7-token block via MTP head
16,0,5,VERIFY,COMMIT,11296,65554,1,18,2.65255e+11,verify result: accepted-token KV + context carry
17,0,5,COMMIT,MTP_DRAFT,64,65555,1,19,0,loop continue
18,0,6,MTP_DRAFT,VERIFY,64,65555,,19,6.16875e+09,proposed 7-token block via MTP head
19,0,6,VERIFY,COMMIT,20608,65555,4,19,2.65256e+11,verify result: accepted-token KV + context carry
20,0,6,COMMIT,MTP_DRAFT,64,65559,4,23,0,loop continue
