event_id,request_id,iteration,src_task,dst_task,payload_bytes,L_context,k_accepted,cum_output_tokens,src_task_compute_flops,note
0,0,0,EXT,PREFILL,65536,16384,,0,0,external arrival: prompt token IDs
1,0,0,PREFILL,COMMIT,50855936,16384,,0,5.35051e+14,"one-time prefill KV publish (compressed CSA/HCA, grows linearly with L)"
2,0,0,PREFILL,MTP_DRAFT,8192,16384,,0,5.35051e+14,prefill->draft handoff: last-token hidden state
3,0,1,MTP_DRAFT,VERIFY,64,16384,,0,5.31626e+09,proposed 7-token block via MTP head
4,0,1,VERIFY,COMMIT,29920,16384,7,0,2.28599e+11,verify result: accepted-token KV + context carry
5,0,1,COMMIT,MTP_DRAFT,64,16391,7,7,0,loop continue
6,0,2,MTP_DRAFT,VERIFY,64,16391,,7,5.31638e+09,proposed 7-token block via MTP head
7,0,2,VERIFY,COMMIT,26816,16391,6,7,2.28604e+11,verify result: accepted-token KV + context carry
8,0,2,COMMIT,MTP_DRAFT,64,16397,6,13,0,loop continue
9,0,3,MTP_DRAFT,VERIFY,64,16397,,13,5.31648e+09,proposed 7-token block via MTP head
10,0,3,VERIFY,COMMIT,17504,16397,3,13,2.28608e+11,verify result: accepted-token KV + context carry
11,0,3,COMMIT,MTP_DRAFT,64,16400,3,16,0,loop continue
12,0,4,MTP_DRAFT,VERIFY,64,16400,,16,5.31653e+09,proposed 7-token block via MTP head
13,0,4,VERIFY,COMMIT,14400,16400,2,16,2.28611e+11,verify result: accepted-token KV + context carry
14,0,4,COMMIT,MTP_DRAFT,64,16402,2,18,0,loop continue
15,0,5,MTP_DRAFT,VERIFY,64,16402,,18,5.31657e+09,proposed 7-token block via MTP head
16,0,5,VERIFY,COMMIT,11296,16402,1,18,2.28612e+11,verify result: accepted-token KV + context carry
17,0,5,COMMIT,MTP_DRAFT,64,16403,1,19,0,loop continue
18,0,6,MTP_DRAFT,VERIFY,64,16403,,19,5.31659e+09,proposed 7-token block via MTP head
19,0,6,VERIFY,COMMIT,20608,16403,4,19,2.28613e+11,verify result: accepted-token KV + context carry
20,0,6,COMMIT,MTP_DRAFT,64,16407,4,23,0,loop continue
21,0,7,MTP_DRAFT,VERIFY,64,16407,,23,5.31665e+09,proposed 7-token block via MTP head
22,0,7,VERIFY,COMMIT,29920,16407,7,23,2.28616e+11,verify result: accepted-token KV + context carry
23,0,7,COMMIT,MTP_DRAFT,64,16414,7,30,0,loop continue
24,0,8,MTP_DRAFT,VERIFY,64,16414,,30,5.31678e+09,proposed 7-token block via MTP head
25,0,8,VERIFY,COMMIT,29920,16414,7,30,2.28621e+11,verify result: accepted-token KV + context carry
26,0,8,COMMIT,MTP_DRAFT,64,16421,7,37,0,loop continue
27,0,9,MTP_DRAFT,VERIFY,64,16421,,37,5.3169e+09,proposed 7-token block via MTP head
28,0,9,VERIFY,COMMIT,8192,16421,0,37,2.28626e+11,verify result: accepted-token KV + context carry
29,0,9,COMMIT,MTP_DRAFT,64,16421,0,37,0,loop continue
30,0,10,MTP_DRAFT,VERIFY,64,16421,,37,5.3169e+09,proposed 7-token block via MTP head
31,0,10,VERIFY,COMMIT,20608,16421,4,37,2.28626e+11,verify result: accepted-token KV + context carry
32,0,10,COMMIT,MTP_DRAFT,64,16425,4,41,0,loop continue
33,0,11,MTP_DRAFT,VERIFY,64,16425,,41,5.31697e+09,proposed 7-token block via MTP head
34,0,11,VERIFY,COMMIT,14400,16425,2,41,2.28629e+11,verify result: accepted-token KV + context carry
